id,error_sentence,corrected_sentence,error_type,difficulty,source
1,"He go to the laboratory yesterday for doing the experiment.","He went to the laboratory yesterday to do the experiment.","Verb Tense & Preposition","Easy","Lang-8"
2,"The datas collected by sensors was showing many error.","The data collected by sensors showed many errors.","Pluralization & Subject-Verb Agreement","Medium","Lang-8"
3,"Neural network are very fast but it require GPU for speed up.","Neural networks are very fast, but they require GPUs for speedup.","Agreement & Punctuation","Medium","Lang-8"
4,"I am look forward to collaborate with your engineering team.","I look forward to collaborating with your engineering team.","Verb Form & Preposition","Easy","Lang-8"
5,"This algorithm is more superior than traditional methods.","This algorithm is superior to traditional methods.","Comparative Adjective & Preposition","Medium","Lang-8"
6,"There is many different solution for solve this optimization problem.","There are many different solutions to solve this optimization problem.","Subject-Verb Agreement & Preposition","Medium","Lang-8"
7,"Although it was raining heavy, but we continued the field test.","Although it was raining heavily, we continued the field test.","Conjunction Redundancy & Adverb Form","Hard","Lang-8"
8,"The researcher discuss about the convergence rate of gradient descent.","The researcher discusses the convergence rate of gradient descent.","Preposition Redundancy & Verb Agreement","Easy","Lang-8"
9,"We must to consider the thermal dissipation in embedded circuit.","We must consider thermal dissipation in the embedded circuit.","Modal Verb & Article","Medium","Lang-8"
10,"Each of the component have been tested under high pressure.","Each of the components has been tested under high pressure.","Subject-Verb Agreement & Pluralization","Hard","Lang-8"
11,"The model perform poorly because of it lacks of enough training data.","The model performs poorly because it lacks sufficient training data.","Clause Structure & Word Choice","Hard","Lang-8"
12,"Its important to verify that all variable is initialized properly.","It is important to verify that all variables are initialized properly.","Contraction & Subject-Verb Agreement","Easy","Lang-8"
13,"We have received your informations regarding the firmware update.","We have received your information regarding the firmware update.","Uncountable Noun","Easy","Lang-8"
14,"The results demonstrates that our proposed architecture is effecient.","The results demonstrate that our proposed architecture is efficient.","Subject-Verb Agreement & Spelling","Easy","Lang-8"
15,"If the voltage will increase, the semiconductor device can damaged.","If the voltage increases, the semiconductor device can be damaged.","Conditional Tense & Passive Voice","Hard","Lang-8"
16,"Neither the battery nor the connecting cables was replaced.","Neither the battery nor the connecting cables were replaced.","Subject-Verb Agreement (Correlative)","Hard","Lang-8"
17,"The machine learning engineer explain how the model work.","The machine learning engineer explains how the model works.","Subject-Verb Agreement","Easy","Lang-8"
18,"We need to analyze these phenomenon before deploying to production.","We need to analyze this phenomenon before deploying to production.","Irregular Plural/Singular Noun","Medium","Lang-8"
19,"Due to the lack of cooling, the server was shutting down unexpected.","Due to the lack of cooling, the server shut down unexpectedly.","Tense & Adverb Form","Medium","Lang-8"
20,"The software allow user to export reports in various format.","The software allows users to export reports in various formats.","Subject-Verb Agreement & Plural Noun","Easy","Lang-8"
